# No              x0             py0            T            C            Stab              xh             pyh
00042 +2.10506748e+01 -1.99112774e+01  34.30634738 -348.39379170 -2.74810565e+17 +2.82758800e-09 +2.65954296e+04
00043 +2.09555289e+01 -1.98213172e+01  34.30626192 -345.25316215 +8.83433863e+17 +2.92234200e-09 +2.61607141e+04
00044 +2.08607964e+01 -1.97317481e+01  34.30617544 -342.14031708 -5.86849017e+17 +3.02143100e-09 +2.57281608e+04
00045 +2.07664753e+01 -1.96425684e+01  34.30608792 -339.05501146 -2.74500093e+17 +3.12311600e-09 +2.53058585e+04
00046 +2.06725638e+01 -1.95537762e+01  34.30599937 -335.99700244 -2.56910556e+17 +3.22866700e-09 +2.48887723e+04
00047 +2.05790601e+01 -1.94653700e+01  34.30590975 -332.96604930 +1.34236446e+18 +3.33792700e-09 +2.44780425e+04
00048 +2.04859624e+01 -1.93773479e+01  34.30581907 -329.96191348 -5.72132084e+16 +3.45071100e-09 +2.40746963e+04
00049 +2.03932688e+01 -1.92897082e+01  34.30572730 -326.98435853 -5.68644836e+17 +3.56707300e-09 +2.36787701e+04
00050 +2.03009775e+01 -1.92024493e+01  34.30563444 -324.03315008 +4.94708691e+17 +3.68759300e-09 +2.32886124e+04
00051 +2.02090868e+01 -1.91155695e+01  34.30554048 -321.10805587 +3.10875075e+17 +3.81213800e-09 +2.29050269e+04
00052 +2.01175948e+01 -1.90290669e+01  34.30544539 -318.20884569 -4.74219345e+16 +3.94096100e-09 +2.25275561e+04
00053 +2.00264998e+01 -1.89429400e+01  34.30534916 -315.33529135 -4.80855933e+17 +4.07360100e-09 +2.21577611e+04
00054 +1.99357999e+01 -1.88571871e+01  34.30525179 -312.48716671 +1.44720977e+17 +4.21160200e-09 +2.17917197e+04
00055 +1.98454935e+01 -1.87718065e+01  34.30515325 -309.66424764 -1.42627020e+17 +4.35367400e-09 +2.14332085e+04
00056 +1.97555787e+01 -1.86867966e+01  34.30505354 -306.86631199 -2.61198498e+17 +4.50063800e-09 +2.10803650e+04
00057 +1.96660538e+01 -1.86021556e+01  34.30495264 -304.09313956 -2.65249461e+17 +4.65247200e-09 +2.07335303e+04
00058 +1.95769171e+01 -1.85178820e+01  34.30485053 -301.34451215 -5.31885531e+16 +4.81002800e-09 +2.03911323e+04
00059 +1.94881668e+01 -1.84339741e+01  34.30474721 -298.62021345 -7.52533329e+16 +4.97213800e-09 +2.00559658e+04
00060 +1.93998011e+01 -1.83504303e+01  34.30464265 -295.92002911 -2.17784440e+17 +5.14041000e-09 +1.97249671e+04
00061 +1.93118185e+01 -1.82672490e+01  34.30453684 -293.24374665 -1.64423689e+17 +5.31385500e-09 +1.94003840e+04
00062 +1.92242171e+01 -1.81844285e+01  34.30442977 -290.59115549 +8.20330514e+16 +5.49354600e-09 +1.90804575e+04
00063 +1.91369953e+01 -1.81019672e+01  34.30432142 -287.96204693 -2.74122036e+16 +5.67912100e-09 +1.87661262e+04
00064 +1.90501514e+01 -1.80198635e+01  34.30421178 -285.35621410 -1.44048565e+16 +5.87102500e-09 +1.84568773e+04
00065 +1.89636837e+01 -1.79381159e+01  34.30410083 -282.77345198 +5.97016293e+16 +6.06889400e-09 +1.81535010e+04
00066 +1.88775904e+01 -1.78567227e+01  34.30398855 -280.21355738 -6.43538278e+16 +6.27430000e-09 +1.78538778e+04
00067 +1.87918700e+01 -1.77756825e+01  34.30387493 -277.67632889 -2.96046536e+16 +6.48622400e-09 +1.75597863e+04
00068 +1.87065208e+01 -1.76949935e+01  34.30375995 -275.16156690 +6.34541213e+15 +6.70549800e-09 +1.72702917e+04
00069 +1.86215410e+01 -1.76146542e+01  34.30364360 -272.66907358 +8.57001614e+15 +6.93221800e-09 +1.69855295e+04
00070 +1.85369292e+01 -1.75346632e+01  34.30352586 -270.19865284 -1.74488754e+16 +7.16637400e-09 +1.67057308e+04
00071 +1.84526835e+01 -1.74550188e+01  34.30340672 -267.75011034 -1.77907331e+16 +7.40877100e-09 +1.64301727e+04
00072 +1.83688025e+01 -1.73757194e+01  34.30328614 -265.32325347 -1.12848510e+16 +7.65882200e-09 +1.61597345e+04
00073 +1.82852844e+01 -1.72967637e+01  34.30316413 -262.91789132 +8.12966105e+14 +7.91803000e-09 +1.58930280e+04
00074 +1.82021277e+01 -1.72181500e+01  34.30304066 -260.53383469 -3.20938686e+16 +8.18541500e-09 +1.56312921e+04
00075 +1.81193307e+01 -1.71398767e+01  34.30291571 -258.17089605 -1.16580167e+15 +8.46233300e-09 +1.53734085e+04
00076 +1.80368918e+01 -1.70619425e+01  34.30278927 -255.82888953 -1.76770080e+16 +8.74818600e-09 +1.51201547e+04
00077 +1.79548095e+01 -1.69843458e+01  34.30266132 -253.50763091 +8.00193526e+15 +9.04433100e-09 +1.48705501e+04
00078 +1.78730822e+01 -1.69070851e+01  34.30253184 -251.20693763 -2.27416038e+16 +9.34984800e-09 +1.46255757e+04
00079 +1.77917082e+01 -1.68301589e+01  34.30240081 -248.92662873 -1.30145388e+15 +9.66596600e-09 +1.43844288e+04
00080 +1.77106860e+01 -1.67535657e+01  34.30226822 -246.66652486 -5.94120078e+15 +9.99301800e-09 +1.41470842e+04
00081 +1.76300141e+01 -1.66773041e+01  34.30213403 -244.42644827 -8.05894829e+14 +1.03304470e-08 +1.39141188e+04
00082 +1.75496908e+01 -1.66013725e+01  34.30199825 -242.20622277 -1.94085605e+15 +1.06802300e-08 +1.36843756e+04
00083 +1.74697147e+01 -1.65257696e+01  34.30186083 -240.00567377 +5.22159839e+15 +1.10413650e-08 +1.34587244e+04
00084 +1.73900842e+01 -1.64504938e+01  34.30172178 -237.82462820 +2.04699899e+15 +1.14146350e-08 +1.32368390e+04
00085 +1.73107977e+01 -1.63755437e+01  34.30158106 -235.66291453 +4.95404991e+14 +1.18009380e-08 +1.30183825e+04
00086 +1.72318537e+01 -1.63009179e+01  34.30143866 -233.52036278 +2.03517673e+15 +1.22000120e-08 +1.28036910e+04
00087 +1.71532508e+01 -1.62266150e+01  34.30129455 -231.39680446 +9.75461292e+14 +1.26127570e-08 +1.25924521e+04
00088 +1.70749874e+01 -1.61526334e+01  34.30114872 -229.29207256 -1.44056421e+15 +1.30395640e-08 +1.23846516e+04
00089 +1.69970619e+01 -1.60789719e+01  34.30100114 -227.20600160 -5.25962138e+14 +1.34806920e-08 +1.21803351e+04
00090 +1.69194729e+01 -1.60056289e+01  34.30085180 -225.13842754 +2.77102990e+15 +1.39363940e-08 +1.19795396e+04
00091 +1.68422190e+01 -1.59326030e+01  34.30070067 -223.08918779 -3.96055073e+15 +1.44081710e-08 +1.17817805e+04
