# No              x0             py0            T            C            Stab              xh             pyh
00041 +4.16275164e+01 -4.01341769e+01  34.40207710 -1486.37607928 +5.83899608e+06 +5.08973860e-07 +1.98266519e+03
00042 +4.13507962e+01 -3.98673793e+01  34.40206315 -1466.67863005 +5.85434273e+06 +5.15879711e-07 +1.96935001e+03
00043 +4.10759129e+01 -3.96023527e+01  34.40204894 -1447.24199808 +5.49764203e+06 +5.22880297e-07 +1.95612230e+03
00044 +4.08028543e+01 -3.93390854e+01  34.40203445 -1428.06272839 +5.34299310e+06 +5.29977218e-07 +1.94298101e+03
00045 +4.05316083e+01 -3.90775656e+01  34.40201968 -1409.13741175 +5.48673580e+06 +5.37172547e-07 +1.92992425e+03
00046 +4.02621628e+01 -3.88177817e+01  34.40200463 -1390.46268409 +5.52738059e+06 +5.44466211e-07 +1.91695409e+03
00047 +3.99945058e+01 -3.85597221e+01  34.40198929 -1372.03522587 +5.23107917e+06 +5.51860584e-07 +1.90406822e+03
00048 +3.97286255e+01 -3.83033753e+01  34.40197366 -1353.85176154 +5.08616072e+06 +5.59357027e-07 +1.89126617e+03
00049 +3.94645099e+01 -3.80487300e+01  34.40195772 -1335.90905892 +5.07925763e+06 +5.66957139e-07 +1.87854716e+03
00050 +3.92021473e+01 -3.77957748e+01  34.40194148 -1318.20392863 +4.89215546e+06 +5.74661962e-07 +1.86591134e+03
00051 +3.89415261e+01 -3.75444984e+01  34.40192493 -1300.73322353 +4.81543217e+06 +5.82472967e-07 +1.85335816e+03
00052 +3.86826347e+01 -3.72948898e+01  34.40190806 -1283.49383817 +4.66317198e+06 +5.90392299e-07 +1.84088608e+03
00053 +3.84254615e+01 -3.70469376e+01  34.40189087 -1266.48270821 +4.48356408e+06 +5.98420973e-07 +1.82849538e+03
00054 +3.81699951e+01 -3.68006311e+01  34.40187334 -1249.69680991 +4.65586513e+06 +6.06560463e-07 +1.81618562e+03
00055 +3.79162241e+01 -3.65559590e+01  34.40185549 -1233.13315956 +4.48589061e+06 +6.14812380e-07 +1.80395623e+03
00056 +3.76641373e+01 -3.63129107e+01  34.40183728 -1216.78881298 +4.30975174e+06 +6.23178830e-07 +1.79180591e+03
00057 +3.74137234e+01 -3.60714752e+01  34.40181873 -1200.66086496 +4.27874655e+06 +6.31661241e-07 +1.77973447e+03
00058 +3.71649713e+01 -3.58316419e+01  34.40179983 -1184.74644878 +4.16943276e+06 +6.40261173e-07 +1.76774150e+03
00059 +3.69178698e+01 -3.55934000e+01  34.40178056 -1169.04273569 +4.17182804e+06 +6.48980146e-07 +1.75582671e+03
00060 +3.66724081e+01 -3.53567389e+01  34.40176092 -1153.54693439 +4.08691018e+06 +6.57819834e-07 +1.74398959e+03
00061 +3.64285751e+01 -3.51216482e+01  34.40174090 -1138.25629054 +3.90934750e+06 +6.66782959e-07 +1.73222834e+03
00062 +3.61863601e+01 -3.48881172e+01  34.40172050 -1123.16808629 +3.89047047e+06 +6.75870021e-07 +1.72054411e+03
00063 +3.59457523e+01 -3.46561358e+01  34.40169971 -1108.27963979 +3.72743113e+06 +6.85083403e-07 +1.70893559e+03
00064 +3.57067408e+01 -3.44256935e+01  34.40167852 -1093.58830468 +3.65401060e+06 +6.94424738e-07 +1.69740252e+03
00065 +3.54693152e+01 -3.41967800e+01  34.40165692 -1079.09146966 +3.60559233e+06 +7.03896089e-07 +1.68594412e+03
00066 +3.52334648e+01 -3.39693852e+01  34.40163491 -1064.78655803 +3.56097883e+06 +7.13499401e-07 +1.67455980e+03
00067 +3.49991791e+01 -3.37434990e+01  34.40161248 -1050.67102717 +3.51146744e+06 +7.23236494e-07 +1.66324919e+03
00068 +3.47664478e+01 -3.35191112e+01  34.40158962 -1036.74236817 +3.37107701e+06 +7.33109478e-07 +1.65201158e+03
00069 +3.45352604e+01 -3.32962120e+01  34.40156631 -1022.99810533 +3.36452762e+06 +7.43119907e-07 +1.64084695e+03
00070 +3.43056066e+01 -3.30747913e+01  34.40154256 -1009.43579574 +3.25695191e+06 +7.53269748e-07 +1.62975483e+03
00071 +3.40774763e+01 -3.28548394e+01  34.40151836 -996.05302884 +3.30470954e+06 +7.63561555e-07 +1.61873416e+03
00072 +3.38508592e+01 -3.26363464e+01  34.40149369 -982.84742598 +3.09534654e+06 +7.73997218e-07 +1.60778465e+03
00073 +3.36257453e+01 -3.24193027e+01  34.40146855 -969.81664003 +3.03013312e+06 +7.84578659e-07 +1.59690599e+03
00074 +3.34021246e+01 -3.22036984e+01  34.40144292 -956.95835493 +3.04033377e+06 +7.95308630e-07 +1.58609709e+03
